,text,contains_image,contains_table,extracted_text,class
535,<<START_SECTION>>Table 5 summarises the adverse reactions that occurred in patients treated with IMFINZI plus chemotherapy.<<END_SECTION>>,0,1,Table 5 summarises the adverse reactions that occurred in patients treated with IMFINZI plus chemotherapy.,2.0
536,<<START_SECTION>>	Table 5 	Adverse Reactions Occurring in ò 10% Patients in the CASPIAN study<<END_SECTION>>,0,1,	Table 5 	Adverse Reactions Occurring in ò 10% Patients in the CASPIAN study,2.0
537,<<START_SECTION>>IMFINZI with etoposide and either carboplatin or cisplatin  N = 265<<END_SECTION>>,0,0,IMFINZI with etoposide and either carboplatin or cisplatin  N = 265,2.0
538,<<START_SECTION>>Etoposide and either carboplatin  or cisplatin<<END_SECTION>>,0,0,Etoposide and either carboplatin  or cisplatin,2.0
539,<<START_SECTION>>N = 266<<END_SECTION>>,0,0,N = 266,2.0
540,<<START_SECTION>>Adverse Reaction<<END_SECTION>>,0,0,Adverse Reaction,2.0
541,<<START_SECTION>>All Grades (%)<<END_SECTION>>,0,0,All Grades (%),2.0
542,<<START_SECTION>>Grade 3-4 (%)<<END_SECTION>>,0,0,Grade 3-4 (%),2.0
543,<<START_SECTION>>All Grades (%)<<END_SECTION>>,0,0,All Grades (%),2.0
544,<<START_SECTION>>Grade 3-4 (%)<<END_SECTION>>,0,0,Grade 3-4 (%),2.0
545,"<<START_SECTION>>Respiratory, thoracic and mediastinal disorders<<END_SECTION>>",0,0,"Respiratory, thoracic and mediastinal disorders",2.0
546,<<START_SECTION>>Cough/Productive Cough<<END_SECTION>>,0,0,Cough/Productive Cough,2.0
547,<<START_SECTION>>15<<END_SECTION>>,0,0,15,2.0
548,<<START_SECTION>>0.8<<END_SECTION>>,0,0,0.8,2.0
549,<<START_SECTION>>9<<END_SECTION>>,0,0,9,2.0
550,<<START_SECTION>>0<<END_SECTION>>,0,0,0,2.0
551,<<START_SECTION>>Gastrointestinal disorders<<END_SECTION>>,0,0,Gastrointestinal disorders,2.0
552,<<START_SECTION>>Nausea<<END_SECTION>>,0,0,Nausea,2.0
553,<<START_SECTION>>34<<END_SECTION>>,0,0,34,2.0
554,<<START_SECTION>>0.4<<END_SECTION>>,0,0,0.4,2.0
555,<<START_SECTION>>34<<END_SECTION>>,0,0,34,2.0
556,<<START_SECTION>>1.9<<END_SECTION>>,0,0,1.9,2.0
557,<<START_SECTION>>Constipation<<END_SECTION>>,0,0,Constipation,2.0
558,<<START_SECTION>>17<<END_SECTION>>,0,0,17,2.0
559,<<START_SECTION>>0.8<<END_SECTION>>,0,0,0.8,2.0
560,<<START_SECTION>>19<<END_SECTION>>,0,0,19,2.0
561,<<START_SECTION>>0<<END_SECTION>>,0,0,0,2.0
562,<<START_SECTION>>Vomiting<<END_SECTION>>,0,0,Vomiting,2.0
563,<<START_SECTION>>15<<END_SECTION>>,0,0,15,2.0
564,<<START_SECTION>>0<<END_SECTION>>,0,0,0,2.0
565,<<START_SECTION>>17<<END_SECTION>>,0,0,17,2.0
566,<<START_SECTION>>1.1<<END_SECTION>>,0,0,1.1,2.0
567,<<START_SECTION>>Diarrhoea<<END_SECTION>>,0,0,Diarrhoea,2.0
568,<<START_SECTION>>10<<END_SECTION>>,0,0,10,2.0
569,<<START_SECTION>>1.1<<END_SECTION>>,0,0,1.1,2.0
570,<<START_SECTION>>11<<END_SECTION>>,0,0,11,2.0
571,<<START_SECTION>>1.1<<END_SECTION>>,0,0,1.1,2.0
572,<<START_SECTION>>Endocrine disorders<<END_SECTION>>,0,0,Endocrine disorders,2.0
573,<<START_SECTION>>Hyperthyroidisma<<END_SECTION>>,0,0,Hyperthyroidisma,2.0
574,<<START_SECTION>>10<<END_SECTION>>,0,0,10,2.0
575,<<START_SECTION>>0<<END_SECTION>>,0,0,0,2.0
576,<<START_SECTION>>0.4<<END_SECTION>>,0,0,0.4,2.0
577,<<START_SECTION>>0<<END_SECTION>>,0,0,0,2.0
578,<<START_SECTION>>Skin and subcutaneous tissue disorders<<END_SECTION>>,0,0,Skin and subcutaneous tissue disorders,2.0
579,<<START_SECTION>>Alopecia<<END_SECTION>>,0,0,Alopecia,2.0
580,<<START_SECTION>>31<<END_SECTION>>,0,0,31,2.0
581,<<START_SECTION>>1.1<<END_SECTION>>,0,0,1.1,2.0
582,<<START_SECTION>>34<<END_SECTION>>,0,0,34,2.0
583,<<START_SECTION>>0.8<<END_SECTION>>,0,0,0.8,2.0
584,<<START_SECTION>>Rashb<<END_SECTION>>,0,0,Rashb,2.0
585,<<START_SECTION>>11<<END_SECTION>>,0,0,11,2.0
586,<<START_SECTION>>0<<END_SECTION>>,0,0,0,2.0
587,<<START_SECTION>>6<<END_SECTION>>,0,0,6,2.0
588,<<START_SECTION>>0<<END_SECTION>>,0,0,0,2.0
589,<<START_SECTION>>General disorders and administration site conditions<<END_SECTION>>,0,0,General disorders and administration site conditions,2.0
590,<<START_SECTION>>Fatigue/Asthenia<<END_SECTION>>,0,0,Fatigue/Asthenia,2.0
591,<<START_SECTION>>32<<END_SECTION>>,0,0,32,2.0
592,<<START_SECTION>>3.4<<END_SECTION>>,0,0,3.4,2.0
593,<<START_SECTION>>32<<END_SECTION>>,0,0,32,2.0
594,<<START_SECTION>>2.3<<END_SECTION>>,0,0,2.3,2.0
595,<<START_SECTION>>Metabolism and nutrition disorders<<END_SECTION>>,0,0,Metabolism and nutrition disorders,2.0
596,<<START_SECTION>>Decreased appetite<<END_SECTION>>,0,0,Decreased appetite,2.0
597,<<START_SECTION>>18<<END_SECTION>>,0,0,18,2.0
598,<<START_SECTION>>0.8<<END_SECTION>>,0,0,0.8,2.0
599,<<START_SECTION>>17<<END_SECTION>>,0,0,17,2.0
600,<<START_SECTION>>0.8<<END_SECTION>>,0,0,0.8,2.0
601,<<START_SECTION>>a Includes hyperthyroidism and Basedow's disease<<END_SECTION>>,0,0,a Includes hyperthyroidism and Basedow's disease,2.0
602,"<<START_SECTION>>b Includes rash erythematous, rash generalised, rash macular, rash maculopapular, rash papular, rash pruritic, rash pustular, erythema, eczema, rash and dermatitis<<END_SECTION>>",0,0,"b Includes rash erythematous, rash generalised, rash macular, rash maculopapular, rash papular, rash pruritic, rash pustular, erythema, eczema, rash and dermatitis",2.0
603,<<START_SECTION>>Table 6 summarises the laboratory abnormalities that occurred in at least 20% of patients treated with IMFINZI plus chemotherapy.<<END_SECTION>>,0,1,Table 6 summarises the laboratory abnormalities that occurred in at least 20% of patients treated with IMFINZI plus chemotherapy.,2.0
604,<<START_SECTION>>Table 6 	Laboratory Abnormalities Worsening from Baseline Occurring in ò 20%1 of Patients in the CASPIAN study<<END_SECTION>>,0,1,Table 6 	Laboratory Abnormalities Worsening from Baseline Occurring in ò 20%1 of Patients in the CASPIAN study,2.0
605,<<START_SECTION>>IMFINZI with Etoposide and either Carboplatin or Cisplatin<<END_SECTION>>,0,0,IMFINZI with Etoposide and either Carboplatin or Cisplatin,2.0
606,<<START_SECTION>>Etoposide and either<<END_SECTION>>,0,0,Etoposide and either,2.0
607,<<START_SECTION>>Carboplatin or Cisplatin<<END_SECTION>>,0,0,Carboplatin or Cisplatin,2.0
608,<<START_SECTION>>Laboratory Abnormality<<END_SECTION>>,0,0,Laboratory Abnormality,2.0
609,<<START_SECTION>>Grade2 3 or 4 (%)3<<END_SECTION>>,0,0,Grade2 3 or 4 (%)3,2.0
610,<<START_SECTION>>Grade2 3 or 4 (%)3<<END_SECTION>>,0,0,Grade2 3 or 4 (%)3,2.0
611,<<START_SECTION>>Chemistry<<END_SECTION>>,0,0,Chemistry,2.0
612,<<START_SECTION>>Hyponatraemia<<END_SECTION>>,0,0,Hyponatraemia,2.0
613,<<START_SECTION>>11<<END_SECTION>>,0,0,11,2.0
614,<<START_SECTION>>13<<END_SECTION>>,0,0,13,2.0
615,<<START_SECTION>>Hypomagnesemia<<END_SECTION>>,0,0,Hypomagnesemia,2.0
616,<<START_SECTION>>11<<END_SECTION>>,0,0,11,2.0
617,<<START_SECTION>>6<<END_SECTION>>,0,0,6,2.0
618,<<START_SECTION>>Hyperglycaemia<<END_SECTION>>,0,0,Hyperglycaemia,2.0
619,<<START_SECTION>>5<<END_SECTION>>,0,0,5,2.0
620,<<START_SECTION>>5<<END_SECTION>>,0,0,5,2.0
621,<<START_SECTION>>Increased Alkaline Phosphatase<<END_SECTION>>,0,0,Increased Alkaline Phosphatase,2.0
622,<<START_SECTION>>4.9<<END_SECTION>>,0,0,4.9,2.0
623,<<START_SECTION>>3.5<<END_SECTION>>,0,0,3.5,2.0
624,<<START_SECTION>>Increased ALT<<END_SECTION>>,0,0,Increased ALT,2.0
625,<<START_SECTION>>4.9<<END_SECTION>>,0,0,4.9,2.0
626,<<START_SECTION>>2.7<<END_SECTION>>,0,0,2.7,2.0
627,<<START_SECTION>>Increased AST<<END_SECTION>>,0,0,Increased AST,2.0
628,<<START_SECTION>>4.6<<END_SECTION>>,0,0,4.6,2.0
629,<<START_SECTION>>1.2<<END_SECTION>>,0,0,1.2,2.0
630,<<START_SECTION>>Hypocalcaemia<<END_SECTION>>,0,0,Hypocalcaemia,2.0
631,<<START_SECTION>>3.5<<END_SECTION>>,0,0,3.5,2.0
632,<<START_SECTION>>2.4<<END_SECTION>>,0,0,2.4,2.0
633,<<START_SECTION>>Blood creatinine increased<<END_SECTION>>,0,0,Blood creatinine increased,2.0
634,<<START_SECTION>>3.4<<END_SECTION>>,0,0,3.4,2.0
635,<<START_SECTION>>1.1<<END_SECTION>>,0,0,1.1,2.0
636,<<START_SECTION>>Hyperkalaemia<<END_SECTION>>,0,0,Hyperkalaemia,2.0
637,<<START_SECTION>>1.5<<END_SECTION>>,0,0,1.5,2.0
638,<<START_SECTION>>3.1<<END_SECTION>>,0,0,3.1,2.0
639,<<START_SECTION>>TSH decreased < LLN4 and ò LLN at baseline<<END_SECTION>>,0,0,TSH decreased < LLN4 and ò LLN at baseline,2.0
640,<<START_SECTION>>NA<<END_SECTION>>,0,0,NA,2.0
641,<<START_SECTION>>NA<<END_SECTION>>,0,0,NA,2.0
642,<<START_SECTION>>Haematology<<END_SECTION>>,0,0,Haematology,2.0
643,<<START_SECTION>>Neutropenia<<END_SECTION>>,0,0,Neutropenia,2.0
644,<<START_SECTION>>41<<END_SECTION>>,0,0,41,2.0
645,<<START_SECTION>>48<<END_SECTION>>,0,0,48,2.0
646,<<START_SECTION>>Lymphopenia<<END_SECTION>>,0,0,Lymphopenia,2.0
647,<<START_SECTION>>14<<END_SECTION>>,0,0,14,2.0
648,<<START_SECTION>>13<<END_SECTION>>,0,0,13,2.0
649,<<START_SECTION>>Anaemia<<END_SECTION>>,0,0,Anaemia,2.0
650,<<START_SECTION>>13<<END_SECTION>>,0,0,13,2.0
651,<<START_SECTION>>22<<END_SECTION>>,0,0,22,2.0
652,<<START_SECTION>>Thrombocytopenia<<END_SECTION>>,0,0,Thrombocytopenia,2.0
653,<<START_SECTION>>12<<END_SECTION>>,0,0,12,2.0
654,<<START_SECTION>>15<<END_SECTION>>,0,0,15,2.0
655,<<START_SECTION>>1 The frequency cut off is based on any grade change from baseline<<END_SECTION>>,0,0,1 The frequency cut off is based on any grade change from baseline,2.0
656,<<START_SECTION>>2 Graded according to NCI CTCAE version 4.03<<END_SECTION>>,0,0,2 Graded according to NCI CTCAE version 4.03,2.0
657,<<START_SECTION>>3 Each test incidence is based on the number of patients who had both baseline and at least one on-study laboratory measurement available: IMFINZI (range: 258 to 263) and chemotherapy (range: 253 to 262) except magnesium IMFINZI + chemotherapy (18) and chemotherapy (16)<<END_SECTION>>,0,0,3 Each test incidence is based on the number of patients who had both baseline and at least one on-study laboratory measurement available: IMFINZI (range: 258 to 263) and chemotherapy (range: 253 to 262) except magnesium IMFINZI + chemotherapy (18) and chemotherapy (16),2.0
658,<<START_SECTION>>4 LLN = lower limit of normal<<END_SECTION>>,0,0,4 LLN = lower limit of normal,2.0
659,<<START_SECTION>><<END_SECTION>>,0,0,,2.0
660,<<START_SUBHEADING>>Laboratory abnormalities <<END_SUBHEADING>>,0,0,Laboratory abnormalities ,1.0
661,"<<START_SECTION>>In patients treated with durvalumab monotherapy, the proportion of patients who experienced a shift from baseline to a Grade 3 or 4 laboratory abnormality was as follows: 2.4% for alanine aminotransferase increased, 3.6% for aspartate aminotransferase increased and 0.5% for blood creatinine increased. The proportion of patients who experienced a shift from baseline to any grade was 18.8% for TSH elevated > ULN and above baseline and 18.1% for TSH decreased < LLN and below baseline.<<END_SECTION>>",0,0,"In patients treated with durvalumab monotherapy, the proportion of patients who experienced a shift from baseline to a Grade 3 or 4 laboratory abnormality was as follows: 2.4% for alanine aminotransferase increased, 3.6% for aspartate aminotransferase increased and 0.5% for blood creatinine increased. The proportion of patients who experienced a shift from baseline to any grade was 18.8% for TSH elevated > ULN and above baseline and 18.1% for TSH decreased < LLN and below baseline.",2.0
662,"<<START_SECTION>>In patients treated with durvalumab in combination with chemotherapy, the proportion of patients who experienced a shift from baseline to a Grade 3 or 4 laboratory abnormality was as follows: 4.9% for alanine aminotransferase increased, 4.6% for aspartate aminotransferase increased and 3.4% for blood creatinine increased. The proportion of patients who experienced a shift from baseline to any grade was 17.7% for TSH elevated > ULN and above baseline and 31.3% for TSH decreased < LLN and below baseline.<<END_SECTION>>",0,0,"In patients treated with durvalumab in combination with chemotherapy, the proportion of patients who experienced a shift from baseline to a Grade 3 or 4 laboratory abnormality was as follows: 4.9% for alanine aminotransferase increased, 4.6% for aspartate aminotransferase increased and 3.4% for blood creatinine increased. The proportion of patients who experienced a shift from baseline to any grade was 17.7% for TSH elevated > ULN and above baseline and 31.3% for TSH decreased < LLN and below baseline.",2.0
663,<<START_SECTION>><<END_SECTION>>,0,0,,2.0
664,<<START_SUBHEADING>>Description of selected adverse reactions<<END_SUBHEADING>>,0,0,Description of selected adverse reactions,1.0
665,<<START_SECTION>>The data below reflect information for significant adverse reactions for IMFINZI as monotherapy in the pooled safety dataset across tumour types (n=3006). Significant adverse reactions for IMFINZI when given in combination with chemotherapy were consistent with IMFINZI monotherapy and did not present clinically relevant differences.<<END_SECTION>>,0,0,The data below reflect information for significant adverse reactions for IMFINZI as monotherapy in the pooled safety dataset across tumour types (n=3006). Significant adverse reactions for IMFINZI when given in combination with chemotherapy were consistent with IMFINZI monotherapy and did not present clinically relevant differences.,2.0
666,<<START_SECTION>>The management guidelines for these adverse reactions are described in sections 4.2 and 4.4.<<END_SECTION>>,0,0,The management guidelines for these adverse reactions are described in sections 4.2 and 4.4.,2.0
667,<<START_SECTION>><<END_SECTION>>,0,0,,2.0
668,<<START_SUBHEADING>>Immune-mediated pneumonitis<<END_SUBHEADING>>,0,0,Immune-mediated pneumonitis,1.0
669,"<<START_SECTION>>In patients receiving IMFINZI monotherapy, immune-mediated pneumonitis occurred in 92 (3.1%) patients, including Grade 3 in 25 (0.8%) patients, Grade 4 in 2 (< 0.1%) patients, and Grade 5 in 6 (0.2%) patients. The median time to onset was 55 days (range: 2-785 days). Sixty-nine of the 92 patients received high-dose corticosteroid treatment (at least 40 mg prednisone or equivalent per day), 2 patients also received infliximab and 1 patient also received cyclosporine. IMFINZI was discontinued in 38 patients. Resolution occurred in 53 patients.<<END_SECTION>>",0,0,"In patients receiving IMFINZI monotherapy, immune-mediated pneumonitis occurred in 92 (3.1%) patients, including Grade 3 in 25 (0.8%) patients, Grade 4 in 2 (< 0.1%) patients, and Grade 5 in 6 (0.2%) patients. The median time to onset was 55 days (range: 2-785 days). Sixty-nine of the 92 patients received high-dose corticosteroid treatment (at least 40 mg prednisone or equivalent per day), 2 patients also received infliximab and 1 patient also received cyclosporine. IMFINZI was discontinued in 38 patients. Resolution occurred in 53 patients.",2.0
670,"<<START_SECTION>>Immune-mediated pneumonitis occurred more frequently in patients in the PACIFIC Study who had completed treatment with concurrent chemoradiation within 1 to 42 days prior to initiation of the study (9.9%), compared to the other patients in the combined safety database (1.8%). In the PACIFIC Study, (n= 475 in the IMFINZI arm, and n= 234 in the placebo arm) immune-mediated pneumonitis occurred in 47 (9.9%) patients in the IMFINZI treated group and 14 (6.0%) patients in the placebo group, including Grade 3 in 9 (1.9%) patients on IMFINZI vs. 6 (2.6%) patients on placebo and Grade 5 (fatal) in 4 (0.8%) patients on IMFINZI vs. 3 (1.3%) patients on placebo. The median time to onset in the IMFINZI treated group was 46 days (range: 2- 342 days) vs. 57 days (range: 26 - 253 days) in the placebo group. In the IMFINZI treated group, 30 patients received high dose corticosteroid treatment (at least 40 mg prednisone or equivalent per day), and 2 patients also received infliximab. In the placebo group, 12 patients received high dose corticosteroid treatment (at least 40 mg prednisone or equivalent per day) and 1 patient also received cyclophosphamide and tacrolimus. Resolution occurred for 29 patients in the IMFINZI treated group vs 6 in placebo. <<END_SECTION>>",0,0,"Immune-mediated pneumonitis occurred more frequently in patients in the PACIFIC Study who had completed treatment with concurrent chemoradiation within 1 to 42 days prior to initiation of the study (9.9%), compared to the other patients in the combined safety database (1.8%). In the PACIFIC Study, (n= 475 in the IMFINZI arm, and n= 234 in the placebo arm) immune-mediated pneumonitis occurred in 47 (9.9%) patients in the IMFINZI treated group and 14 (6.0%) patients in the placebo group, including Grade 3 in 9 (1.9%) patients on IMFINZI vs. 6 (2.6%) patients on placebo and Grade 5 (fatal) in 4 (0.8%) patients on IMFINZI vs. 3 (1.3%) patients on placebo. The median time to onset in the IMFINZI treated group was 46 days (range: 2- 342 days) vs. 57 days (range: 26 - 253 days) in the placebo group. In the IMFINZI treated group, 30 patients received high dose corticosteroid treatment (at least 40 mg prednisone or equivalent per day), and 2 patients also received infliximab. In the placebo group, 12 patients received high dose corticosteroid treatment (at least 40 mg prednisone or equivalent per day) and 1 patient also received cyclophosphamide and tacrolimus. Resolution occurred for 29 patients in the IMFINZI treated group vs 6 in placebo. ",2.0
671,<<START_SUBHEADING>>Immune-mediated hepatitis<<END_SUBHEADING>>,0,0,Immune-mediated hepatitis,1.0
672,"<<START_SECTION>>In patients receiving IMFINZI monotherapy, immune-mediated hepatitis occurred in 67 (2.2%) patients, including Grade 3 in 35 (1.2%) patients, Grade 4 in 6 (0.2%) and Grade 5 in 4 (0.1%) patient. The median time to onset was 36 days (range: 3-333 days). Forty-four of the 67 patients received high-dose corticosteroid treatment (at least 40 mg prednisone or equivalent per day). Three patients also received mycophenolate treatment. IMFINZI was discontinued in 9 patients. Resolution occurred in 29 patients. <<END_SECTION>>",0,0,"In patients receiving IMFINZI monotherapy, immune-mediated hepatitis occurred in 67 (2.2%) patients, including Grade 3 in 35 (1.2%) patients, Grade 4 in 6 (0.2%) and Grade 5 in 4 (0.1%) patient. The median time to onset was 36 days (range: 3-333 days). Forty-four of the 67 patients received high-dose corticosteroid treatment (at least 40 mg prednisone or equivalent per day). Three patients also received mycophenolate treatment. IMFINZI was discontinued in 9 patients. Resolution occurred in 29 patients. ",2.0
673,<<START_SUBHEADING>>Immune-mediated colitis<<END_SUBHEADING>>,0,0,Immune-mediated colitis,1.0
674,"<<START_SECTION>>In patients receiving IMFINZI monotherapy, immune-mediated colitis or diarrhoea occurred in 58 (1.9%) patients, including Grade 3 in 9 (0.3%) patients and Grade 4 in 2 (<0.1%) patients. The median time to onset was 70 days (range: 1-394 days). Thirty-eight of the 58 patients received highdose corticosteroid treatment (at least 40 mg prednisone or equivalent per day). One patient also received infliximab treatment and one patient also received mycophenolate treatment. IMFINZI was discontinued in 9 patients. Resolution occurred in 43 patients. <<END_SECTION>>",0,0,"In patients receiving IMFINZI monotherapy, immune-mediated colitis or diarrhoea occurred in 58 (1.9%) patients, including Grade 3 in 9 (0.3%) patients and Grade 4 in 2 (<0.1%) patients. The median time to onset was 70 days (range: 1-394 days). Thirty-eight of the 58 patients received highdose corticosteroid treatment (at least 40 mg prednisone or equivalent per day). One patient also received infliximab treatment and one patient also received mycophenolate treatment. IMFINZI was discontinued in 9 patients. Resolution occurred in 43 patients. ",2.0
675,<<START_SUBHEADING>>Immune-mediated endocrinopathies<<END_SUBHEADING>>,0,0,Immune-mediated endocrinopathies,1.0
676,<<START_SUBHEADING>>Immune-mediated hypothyroidism<<END_SUBHEADING>>,0,0,Immune-mediated hypothyroidism,1.0
677,"<<START_SECTION>>In patients receiving IMFINZI monotherapy, immune-mediated hypothyroidism occurred in 245<<END_SECTION>>",0,0,"In patients receiving IMFINZI monotherapy, immune-mediated hypothyroidism occurred in 245",2.0
678,"<<START_SECTION>>(8.2%) patients, including Grade 3 in 4 ( 0.1%) patients. The median time to onset was 85 days<<END_SECTION>>",0,0,"(8.2%) patients, including Grade 3 in 4 ( 0.1%) patients. The median time to onset was 85 days",2.0
679,"<<START_SECTION>>(range: 1-562 days).  Of the 245 patients, 240 patients received hormone replacement therapy, 6 patients received high-dose corticosteroids (at least 40 mg prednisone or equivalent per day) for immune-mediated hypothyroidism followed by hormone replacement. No patients discontinued IMFINZI due to immune-mediated hypothyroidism. Immune-mediated hypothyroidism was preceded by immune-mediated hyperthyroidism in 20 patients or immune-mediated thyroiditis in  3 patients.  <<END_SECTION>>",0,0,"(range: 1-562 days).  Of the 245 patients, 240 patients received hormone replacement therapy, 6 patients received high-dose corticosteroids (at least 40 mg prednisone or equivalent per day) for immune-mediated hypothyroidism followed by hormone replacement. No patients discontinued IMFINZI due to immune-mediated hypothyroidism. Immune-mediated hypothyroidism was preceded by immune-mediated hyperthyroidism in 20 patients or immune-mediated thyroiditis in  3 patients.  ",2.0
680,<<START_SUBHEADING>>Immune-mediated hyperthyroidism<<END_SUBHEADING>>,0,0,Immune-mediated hyperthyroidism,1.0
681,"<<START_SECTION>>In patients receiving IMFINZI monotherapy, immune-mediated hyperthyroidism occurred in 50 (1.7%) patients, there were no Grade 3 or 4 cases. The median time to onset was 43 days (range:  1-253 days). Forty six of the 50 patients received medical therapy (thiamazole, carbimazole, propylthiouracil, perchlorate, calcium channel blocker, or beta-blocker), 11 patients received systemic corticosteroids and 4 of the 11 patients received high-dose systemic corticosteroid treatment (at least 40 mg prednisone or equivalent per day). One patient discontinued IMFINZI  due to immune-mediated hyperthyroidism. Resolution occurred in 39 patients. <<END_SECTION>>",0,0,"In patients receiving IMFINZI monotherapy, immune-mediated hyperthyroidism occurred in 50 (1.7%) patients, there were no Grade 3 or 4 cases. The median time to onset was 43 days (range:  1-253 days). Forty six of the 50 patients received medical therapy (thiamazole, carbimazole, propylthiouracil, perchlorate, calcium channel blocker, or beta-blocker), 11 patients received systemic corticosteroids and 4 of the 11 patients received high-dose systemic corticosteroid treatment (at least 40 mg prednisone or equivalent per day). One patient discontinued IMFINZI  due to immune-mediated hyperthyroidism. Resolution occurred in 39 patients. ",2.0
682,<<START_SUBHEADING>>Immune-mediated thyroiditis<<END_SUBHEADING>>,0,0,Immune-mediated thyroiditis,1.0
683,"<<START_SECTION>>In patients receiving IMFINZI monotherapy, immune-mediated thyroiditis occurred in 12 (0.4%) patients, including Grade 3 in 2 ( <0.1%) patients. The median time to onset was 49 days (range: 14-106 days). Of the 12 patients, 10 patients received hormone replacement therapy, 1 patient received high-dose corticosteroids (at least 40 mg prednisone or equivalent per day). One patient discontinued IMFINZI due to immune-mediated thyroiditis.    <<END_SECTION>>",0,0,"In patients receiving IMFINZI monotherapy, immune-mediated thyroiditis occurred in 12 (0.4%) patients, including Grade 3 in 2 ( <0.1%) patients. The median time to onset was 49 days (range: 14-106 days). Of the 12 patients, 10 patients received hormone replacement therapy, 1 patient received high-dose corticosteroids (at least 40 mg prednisone or equivalent per day). One patient discontinued IMFINZI due to immune-mediated thyroiditis.    ",2.0
684,<<START_SUBHEADING>>Immune-mediated adrenal insufficiency<<END_SUBHEADING>>,0,0,Immune-mediated adrenal insufficiency,1.0
685,"<<START_SECTION>>In patients receiving IMFINZI monotherapy, immune-mediated adrenal insufficiency occurred in 14 (0.5%) patients, including Grade 3 in 3 (<0.1%) patients. The median time to onset was 145.5 days (range: 20-547 days). All 14 patients received systemic corticosteroids; 4 of the 14 patients received high-dose corticosteroid treatment (at least 40 mg prednisone or equivalent per day). No patients discontinued IMFINZI due to immune-mediated adrenal insufficiency. Resolution occurred in 3 patients.  <<END_SECTION>>",0,0,"In patients receiving IMFINZI monotherapy, immune-mediated adrenal insufficiency occurred in 14 (0.5%) patients, including Grade 3 in 3 (<0.1%) patients. The median time to onset was 145.5 days (range: 20-547 days). All 14 patients received systemic corticosteroids; 4 of the 14 patients received high-dose corticosteroid treatment (at least 40 mg prednisone or equivalent per day). No patients discontinued IMFINZI due to immune-mediated adrenal insufficiency. Resolution occurred in 3 patients.  ",2.0
686,<<START_SUBHEADING>>Immune-mediated type 1 diabetes mellitus<<END_SUBHEADING>>,0,0,Immune-mediated type 1 diabetes mellitus,1.0
687,"<<START_SECTION>>In patients receiving IMFINZI monotherapy, immune-mediate type 1 diabetes mellitus occurred in<<END_SECTION>>",0,0,"In patients receiving IMFINZI monotherapy, immune-mediate type 1 diabetes mellitus occurred in",2.0
688,<<START_SECTION>>16 (0.5%) patients including Grade 3 in 6 (0.2%) patients. The median time to onset was 43 days (range 9-196). Fourteen of the 16 patients received endocrine therapy and 3 out of 16 patients received high-dose corticosteroid treatment (at least 40 mg prednisone or equivalent per day).  One patient discontinued IMFINZI due to immune-mediated type 1 diabetes mellitus. Resolution occurred in 11 patients.   <<END_SECTION>>,0,0,16 (0.5%) patients including Grade 3 in 6 (0.2%) patients. The median time to onset was 43 days (range 9-196). Fourteen of the 16 patients received endocrine therapy and 3 out of 16 patients received high-dose corticosteroid treatment (at least 40 mg prednisone or equivalent per day).  One patient discontinued IMFINZI due to immune-mediated type 1 diabetes mellitus. Resolution occurred in 11 patients.   ,2.0
689,<<START_SUBHEADING>>Immune-mediated hypophysitis/hypopituitarism<<END_SUBHEADING>>,0,0,Immune-mediated hypophysitis/hypopituitarism,1.0
690,"<<START_SECTION>>In patients receiving IMFINZI monotherapy, immune-mediated hypophysitis/hypopituitarism occurred in 2 (<0.1%) patients both Grade 3. The time to onset for the events was 44 days and 50 days. Both patients received high-dose corticosteroid treatment (at least 40 mg prednisone or equivalent per day) and one patient discontinued IMFINZI due to immune-mediated hypophysitis/hypopituitarism. <<END_SECTION>>",0,0,"In patients receiving IMFINZI monotherapy, immune-mediated hypophysitis/hypopituitarism occurred in 2 (<0.1%) patients both Grade 3. The time to onset for the events was 44 days and 50 days. Both patients received high-dose corticosteroid treatment (at least 40 mg prednisone or equivalent per day) and one patient discontinued IMFINZI due to immune-mediated hypophysitis/hypopituitarism. ",2.0
691,<<START_SUBHEADING>>Immune-mediated nephritis<<END_SUBHEADING>>,0,0,Immune-mediated nephritis,1.0
692,"<<START_SECTION>>In patients receiving IMFINZI monotherapy, immune-mediated nephritis occurred in 14 (0.5%) patients, including Grade 3 in 2 (<0.1%) patients. The median time to onset was 71 days (range:  4-393 days). Nine patients received high-dose corticosteroid treatment (at least 40 mg prednisone or equivalent per day) and 1 patient  also received mycophenolate. IMFINZI was discontinued in 5 patients. Resolution occurred in 8 patients. <<END_SECTION>>",0,0,"In patients receiving IMFINZI monotherapy, immune-mediated nephritis occurred in 14 (0.5%) patients, including Grade 3 in 2 (<0.1%) patients. The median time to onset was 71 days (range:  4-393 days). Nine patients received high-dose corticosteroid treatment (at least 40 mg prednisone or equivalent per day) and 1 patient  also received mycophenolate. IMFINZI was discontinued in 5 patients. Resolution occurred in 8 patients. ",2.0
693,<<START_SUBHEADING>>Immune-mediated rash<<END_SUBHEADING>>,0,0,Immune-mediated rash,1.0
